Superunique	Name	Class	hcIdx	MonSound	Mod1	Mod2	Mod3	MinGrp	MaxGrp	EClass	AutoPos	Stacks	Replaceable	Utrans	Utrans(N)	Utrans(H)	TC	TC(N)	TC(H)	Level	Level(N)	Level(H)	Area	removed	*eol
The Feature Creep	Hephasto the Armorer	hephasto	41	smithdemon	27	30	0	0	0	0	1	0		20	20	20	Haphesto	Haphesto (N)	Haphesto (H)	28	60	88	Act 4 - Lava 1		0
Winged Death	Winged Death	megademon3	32		5	7	0	7	7	0	1	0		24	24	24	Act 4 Super A	Act 4 (N) Super A	Act 4 (H) Super A	33	59	86		1	0
The Tormentor	The Tormentor	willowisp3	33		8	9	0	5	5	0	1	0		9	9	9	Act 4 Super A	Act 4 (N) Super A	Act 4 (H) Super A	29	59	85		1	0
Taintbreeder	Taintbreeder	vilemother2	34		6	0	0	6	6	0	1	0		10	10	10	Act 4 Super A	Act 4 (N) Super A	Act 4 (H) Super A	30	59	85		1	0
Riftwraith the Cannibal	Riftwraith the Cannibal	regurgitator2	35		18	26	0	8	8	0	1	0		25	25	25	Act 4 Super A	Act 4 (N) Super A	Act 4 (H) Super A	30	60	87		1	0
Infector of Souls	Infector of Souls	megademon3	36		6	27	0	9	9	0	1	0		26	26	26	Act 4 Super B	Act 4 (N) Super B	Act 4 (H) Super B	33	61	88	Act 4 - Diablo 1		0
Lord De Seis	Lord De Seis	doomknight3	37		5	30	24	5	5	0	1	0		11	11	11	Act 4 Super C	Act 4 (N) Super C	Act 4 (H) Super C	33	61	88	Act 4 - Diablo 1		0
Grand Vizier of Chaos	Grand Vizier of Chaos	fingermage3	38		5	9	0	9	9	0	1	0		26	26	26	Act 4 Super B	Act 4 (N) Super B	Act 4 (H) Super B	33	61	88	Act 4 - Diablo 1		0
Expansion																									0
Dac Farren	Dac Farren	imp3	48		18	0	0	4	4	1	0	0	1	36	36	36	Act 5 Super B	Act 5 (N) Super B	Act 5 (H) Super B	37	61	83	Act 5 - Siege 1		0
Siege Boss	Shenk the Overseer	overseer1	42		5	0	0	0	0	1	0	1		7	7	7	Act 5 Super A	Act 5 (N) Super A	Act 5 (H) Super A	36	61	83	Act 5 - Siege 1		0
Ancient Barbarian 1	Ancient Barbarian 1	ancientbarb1	43		0	0	0	0	0	1	0	1		25	25	25									0
Ancient Barbarian 2	Ancient Barbarian 2	ancientbarb2	44		0	0	0	0	0	1	0	1		26	26	26									0
Ancient Barbarian 3	Ancient Barbarian 3	ancientbarb3	45		0	0	0	0	0	1	0	1		11	11	11									0
Megaflow Rectifier	Eldritch the Rectifier	minion1	49		1	6	0	8	8	1	0	0	1	21	21	21	Act 5 Super A	Act 5 (N) Super A	Act 5 (H) Super A	34	62	84	Act 5 - Barricade 1		0
Sharp Tooth Sayer	Sharptooth Slayer	overseer3	56		6	0	0	3	3	1	0	0	1	24	24	24	Act 5 Super B	Act 5 (N) Super B	Act 5 (H) Super B	39	62	84	Act 5 - Barricade 1		0
Eyeback Unleashed	Eyeback Unleashed	deathmauler1	50		5	6	0	2	2	1	0	0		8	8	8	Act 5 Super A	Act 5 (N) Super A	Act 5 (H) Super A	35	62	84	Act 5 - Barricade 1		0
Threash Socket	Thresh Socket	siegebeast3	51		7	0	0	0	0	1	0	0		37	37	37	Act 5 Super Cx	Act 5 (N) Super Cx	Act 5 (H) Super Cx	41	63	84	Act 5 - Barricade 2		0
Frozenstein	Frozenstein	snowyeti4	59		18	25	0	5	6	1	0	0		19	19	19	Act 5 Super C	Act 5 (N) Super C	Act 5 (H) Super C	46	64	86	Act 5 - Ice Cave 1A		0
Bonesaw Breaker	Bonesaw Breaker	reanimatedhorde2	47		5	8	0	5	5	1	0	0		35	35	35	Act 5 Super A	Act 5 (N) Super A	Act 5 (H) Super A	36	64	86	Act 5 - Ice Cave 2		0
Pindleskin	Pindleskin	reanimatedhorde5	52		9	0	0	6	6	1	0	0		22	22	22	Act 5 Super Cx	Act 5 (N) Super Cx	Act 5 (H) Super Cx	45	66	86	Act 5 - Temple Entrance		0
Nihlathak Boss	Nihlathak	nihlathakboss	60		0	0	0	0	0	1	0	1		28	28	28	Nihlathak	Nihlathak (N)	Nihlathak (H)	68	73	95	Act 5 - Temple Boss		0
Snapchip Shatter	Snapchip Shatter	frozenhorror1	53		7	18	0	4	4	1	0	0		23	23	23	Act 5 Super C	Act 5 (N) Super C	Act 5 (H) Super C	40	65	86	Act 5 - Ice Cave 3A		0
Axe Dweller	Axe Dweller	bloodlord3	46		8	9	0	2	2	1	0	0		20	20	20	Act 5 Super C	Act 5 (N) Super C	Act 5 (H) Super C	39	69	88		1	0
Anodized Elite	Anodized Elite	succubus4	54		9	7	0	6	6	1	0	0		38	38	38	Act 5 Super C	Act 5 (N) Super C	Act 5 (H) Super C	43	67	87		1	0
Vinvear Molech	Vinvear Molech	succubuswitch2	55		8	5	18	0	0	1	0	0		23	23	23	Act 5 Super A	Act 5 (N) Super A	Act 5 (H) Super A	37	65	86		1	0
Magma Torquer	Magma Torquer	imp5	57		5	7	0	5	5	1	0	0		9	9	9	Act 5 Super C	Act 5 (N) Super C	Act 5 (H) Super C	41	63	84		1	0
Blaze Ripper	Blaze Ripper	deathmauler5	58		17	6	0	4	4	1	0	0		10	10	10	Act 5 Super C	Act 5 (N) Super C	Act 5 (H) Super C	44	63	84		1	0
Baal Subject 1	Colenzo the Annihilator	fallenshaman5	61		9	0	0	5	5	0	0	1		29	29	29	Act 5 Champ C	Act 5 (N) Champ C	Act 5 (H) Champ C	43	69	88	Act 5 - Throne Room		0
Baal Subject 2	Achmel the Cursed	unraveler5	62		23	0	0	3	3	0	0	1		21	21	21	Act 5 Champ C	Act 5 (N) Champ C	Act 5 (H) Champ C	43	69	88	Act 5 - Throne Room		0
Baal Subject 3	Bartuc the Bloody	baalhighpriest	63		17	0	0	5	5	1	0	1		36	36	36	Act 5 Champ C	Act 5 (N) Champ C	Act 5 (H) Champ C	43	69	88	Act 5 - Throne Room		0
Baal Subject 4	Ventar the Unholy	venomlord	64		6	0	0	8	8	1	0	1		20	20	20	Act 5 Champ C	Act 5 (N) Champ C	Act 5 (H) Champ C	43	69	88	Act 5 - Throne Room		0
Baal Subject 5	Lister the Tormentor	baalminion1	65		27	0	0	5	5	1	0	1		20	20	20	Act 5 Champ C	Act 5 (N) Champ C	Act 5 (H) Champ C	58	69	88	Act 5 - Throne Room		0
